IP Interface Status for VRF "CORP"(3)
Interface            IP Address      Interface Status
Vlan3461             10.113.199.250  protocol-up/link-up/admin-up       
Vlan3470             10.119.1.171    protocol-down/link-down/admin-down 
Vlan3471             10.119.7.250    protocol-up/link-up/admin-up       
Vlan3472             10.119.9.250    protocol-down/link-down/admin-down 
Vlan3473             10.119.31.250   protocol-up/link-up/admin-up       
Vlan3474             10.119.39.250   protocol-down/link-down/admin-down 
Vlan3475             10.119.47.250   protocol-down/link-down/admin-down 
Vlan3476             10.119.55.250   protocol-down/link-down/admin-down 
Vlan3477             10.119.56.250   protocol-down/link-down/admin-down 
Vlan3479             10.119.61.250   protocol-up/link-up/admin-up       
Vlan3480             10.119.2.250    protocol-up/link-up/admin-up       
Vlan3482             10.119.63.250   protocol-down/link-down/admin-down 
Vlan3490             10.128.178.35   protocol-up/link-up/admin-up       
Vlan3499             10.128.178.132  protocol-up/link-up/admin-up       
Vlan3500             10.188.15.28    protocol-down/link-down/admin-down 
Vlan3837             10.128.37.254   protocol-up/link-up/admin-up       
Vlan3860             10.128.71.254   protocol-up/link-up/admin-up       
Vlan3861             10.128.79.254   protocol-up/link-up/admin-up       
Vlan3862             10.128.95.254   protocol-up/link-up/admin-up       
Vlan3863             10.128.75.254   protocol-up/link-up/admin-up       
Vlan3864             10.128.99.254   protocol-up/link-up/admin-up       
Vlan3865             10.128.67.254   protocol-down/link-down/admin-down 
Vlan3870             10.128.34.254   protocol-up/link-up/admin-up       
Vlan3871             10.128.36.254   protocol-up/link-up/admin-up       
Vlan3873             10.190.159.252  protocol-down/link-down/admin-down 
Vlan3875             10.128.101.254  protocol-up/link-up/admin-up       
Vlan3876             10.128.103.254  protocol-down/link-down/admin-down 
Vlan3877             10.128.105.254  protocol-down/link-down/admin-down 
Vlan3878             10.128.107.254  protocol-up/link-up/admin-up       
Vlan3879             10.128.109.254  protocol-down/link-down/admin-down 
Vlan3881             10.128.113.254  protocol-down/link-down/admin-down 
Vlan3882             10.128.151.254  protocol-up/link-up/admin-up       
Vlan3883             10.128.155.254  protocol-up/link-up/admin-up       
Vlan3885             10.128.185.253  protocol-down/link-down/admin-down 
Vlan3886             10.128.111.254  protocol-down/link-down/admin-down 
Vlan3887             10.128.217.254  protocol-down/link-down/admin-down 
Vlan3888             10.128.219.254  protocol-down/link-down/admin-down 
Vlan3889             10.128.243.254  protocol-up/link-up/admin-up       
Vlan3890             10.131.255.36   protocol-up/link-up/admin-up       
Vlan3891             10.128.241.254  protocol-up/link-up/admin-up       
Vlan3893             10.128.12.254   protocol-up/link-up/admin-up       
Vlan3894             10.128.13.254   protocol-down/link-down/admin-down 
Vlan3895             10.128.9.254    protocol-up/link-up/admin-up       
Vlan3896             10.128.11.254   protocol-up/link-up/admin-up       
Vlan3897             10.128.127.254  protocol-down/link-down/admin-down 
Vlan3898             10.128.225.254  protocol-down/link-down/admin-down 
Vlan3899             10.128.19.251   protocol-up/link-up/admin-up       
Vlan3900             10.128.255.190  protocol-down/link-down/admin-down 
Vlan3901             10.128.255.222  protocol-up/link-up/admin-up       
Vlan3902             10.128.35.61    protocol-up/link-up/admin-up       
Vlan3903             10.128.35.125   protocol-down/link-down/admin-down 
Vlan3904             10.200.0.254    protocol-down/link-down/admin-down 
Vlan3905             10.200.1.126    protocol-up/link-up/admin-up       
Vlan3907             10.200.1.254    protocol-down/link-down/admin-down 
Vlan3908             10.200.2.14     protocol-down/link-down/admin-down 
Vlan3909             10.200.9.126    protocol-down/link-down/admin-down 
Vlan3910             10.200.9.141    protocol-up/link-up/admin-up       
Vlan3911             10.200.15.254   protocol-up/link-up/admin-up       
Vlan3912             10.130.23.254   protocol-down/link-down/admin-down 
Vlan3913             10.130.27.254   protocol-down/link-down/admin-down 
Vlan3914             10.130.43.254   protocol-down/link-down/admin-down 
Vlan3915             10.130.47.254   protocol-down/link-down/admin-down 
Vlan3916             10.200.32.254   protocol-up/link-up/admin-up       
Vlan3917             10.200.11.254   protocol-up/link-up/admin-up       
Vlan3918             10.200.35.254   protocol-up/link-up/admin-up       
Vlan3919             10.200.37.254   protocol-up/link-up/admin-up       
Vlan3920             10.200.39.254   protocol-up/link-up/admin-up       
Vlan3921             10.200.41.254   protocol-down/link-down/admin-down 
Vlan3924             10.200.43.254   protocol-up/link-up/admin-up       
Vlan3928             10.200.7.254    protocol-up/link-up/admin-up       
Vlan3929             10.128.144.50   protocol-up/link-up/admin-up       
Vlan3931             10.200.44.254   protocol-up/link-up/admin-up       
Vlan3932             10.200.45.254   protocol-up/link-up/admin-up       
Lo4                  10.250.201.26   protocol-up/link-up/admin-up       
Lo40                 10.128.8.51     protocol-up/link-up/admin-up       
Po300                10.128.144.105  protocol-up/link-up/admin-up       
Po10.1               10.250.201.226  protocol-up/link-up/admin-up       
Eth1/1.4             10.250.201.150  protocol-up/link-up/admin-up       
Eth2/1.4             10.250.201.190  protocol-up/link-up/admin-up       
Eth3/9               10.250.201.210  protocol-down/link-down/admin-down 
Eth12/16             10.128.144.113  protocol-down/link-down/admin-down 
Eth17/46             10.128.179.5    protocol-down/link-down/admin-down 
Eth18/47             10.128.144.93   protocol-up/link-up/admin-up
